12,1332
12,1356
12,1380
12,1452
12,1476
12,1500
12,1524
12,1548
12,1572
12,1596
12,1620
12,1644
12,1668
12,1764
12,1788
12,1812
12,1836
12,1860
12,1884
12,1908
12,2052
12,2076
12,2100
12,2124
12,2268
12,2292
12,2316
12,2388
12,2412
12,2436
12,2460
12,2556
12,2580
36,1356
36,1452
36,1596
36,1620
36,1644
36,1668
36,1764
36,1788
36,1812
36,1836
36,1860
36,1884
36,1908
36,2076
36,2100
36,2124
36,2292
36,2436
36,2460
36,2484
36,2580
36,2652
36,2676
36,2748
36,3036
60,1428
60,1764
60,1788
60,1812
60,1836
60,1860
60,1884
60,1908
60,1956
60,2004
60,2028
60,2076
60,2100
60,2460
60,2484
60,2628
60,2652
60,3036
84,1404
84,1764
84,1788
84,1812
84,1836
84,1860
84,1884
84,1908
84,2004
84,2028
84,2076
84,2100
84,2196
84,2460
84,2484
84,2508
84,2652
84,2748
84,2772
84,2796
84,2916
84,2940
84,2964
84,3012
108,1380
108,1404
108,1524
108,1548
108,1740
108,1764
108,1788
108,1812
108,1836
108,1860
108,1980
108,2004
108,2028
108,2196
108,2268
108,2292
108,2460
108,2676
108,2772
108,2964
132,1380
132,1404
132,1524
132,1548
132,1740
132,1764
132,1788
132,1812
132,1836
132,1980
132,2004
132,2028
132,2052
132,2076
132,2148
132,2196
132,2220
132,2340
132,2364
132,2388
132,2412
132,2436
132,2772
156,1380
156,1404
156,1428
156,1548
156,1740
156,1932
156,1956
156,1980
156,2004
156,2148
156,2220
156,2268
156,2364
156,2388
156,2412
156,2652
156,2844
180,1452
180,1836
180,2268
180,2364
180,2388
180,2412
180,2484
180,2508
180,2532
180,2628
180,2652
180,2724
180,2844
204,1476
204,1692
204,1812
204,1836
204,2052
204,2124
204,2148
204,2172
204,2412
204,2436
204,2460
204,2484
204,2508
204,2532
204,2580
204,2652
204,2724
204,2988
204,3060
228,1428
228,1692
228,1812
228,1836
228,1884
228,1908
228,1980
228,2100
228,2508
228,2772
228,2796
228,2892
228,2988
228,3060
252,1428
252,1500
252,1692
252,1908
252,2100
252,2172
252,2340
252,2412
252,2652
252,2676
252,2700
