time,zu1_xy,y,x,wspeed_10m*_xy
0 days 14:59:59,6.0,12.0,2676.0,1.7259326
0 days 14:59:59,6.0,12.0,2700.0,2.2122378
0 days 14:59:59,6.0,12.0,2724.0,2.357173
0 days 14:59:59,6.0,12.0,2748.0,1.6747488
0 days 14:59:59,6.0,12.0,2772.0,2.3475437
0 days 14:59:59,6.0,12.0,2796.0,2.3309765
0 days 14:59:59,6.0,12.0,2820.0,2.2111096
0 days 14:59:59,6.0,12.0,2844.0,2.1546488
0 days 14:59:59,6.0,12.0,2868.0,2.2705712
0 days 14:59:59,6.0,12.0,2892.0,2.2968729
0 days 14:59:59,6.0,12.0,2916.0,2.14714
0 days 14:59:59,6.0,12.0,2940.0,2.162951
0 days 14:59:59,6.0,12.0,2964.0,2.1511345
0 days 14:59:59,6.0,12.0,2988.0,2.2060375
0 days 14:59:59,6.0,12.0,3012.0,2.1753583
0 days 14:59:59,6.0,12.0,3036.0,1.5437984
0 days 14:59:59,6.0,12.0,3060.0,2.1084137
0 days 14:59:59,6.0,36.0,12.0,2.0166955
0 days 14:59:59,6.0,36.0,36.0,1.7768427
0 days 14:59:59,6.0,36.0,60.0,1.6160002
0 days 14:59:59,6.0,36.0,84.0,2.3363383
0 days 14:59:59,6.0,36.0,108.0,2.1233563
0 days 14:59:59,6.0,36.0,132.0,1.9722334
0 days 14:59:59,6.0,36.0,156.0,2.6133637
0 days 14:59:59,6.0,36.0,180.0,2.3722398
0 days 14:59:59,6.0,36.0,204.0,2.2898214
0 days 14:59:59,6.0,36.0,228.0,0.9545888
0 days 14:59:59,6.0,36.0,252.0,2.7367594
0 days 14:59:59,6.0,36.0,276.0,2.1140058
0 days 14:59:59,6.0,36.0,300.0,2.1969624
0 days 14:59:59,6.0,36.0,324.0,2.5965416
0 days 14:59:59,6.0,36.0,348.0,2.2450593
0 days 14:59:59,6.0,36.0,372.0,3.2352798
0 days 14:59:59,6.0,36.0,396.0,2.759105
0 days 14:59:59,6.0,36.0,420.0,2.5372145
0 days 14:59:59,6.0,36.0,444.0,2.4866204
0 days 14:59:59,6.0,36.0,468.0,2.4762542
0 days 14:59:59,6.0,36.0,492.0,0.17678533
0 days 14:59:59,6.0,36.0,516.0,2.6703384
0 days 14:59:59,6.0,36.0,540.0,2.6086574
0 days 14:59:59,6.0,36.0,564.0,2.978528
0 days 14:59:59,6.0,36.0,588.0,2.4585454
0 days 14:59:59,6.0,36.0,612.0,2.5425794
0 days 14:59:59,6.0,36.0,636.0,2.9621596
0 days 14:59:59,6.0,36.0,660.0,2.2522154
0 days 14:59:59,6.0,36.0,684.0,2.7582262
0 days 14:59:59,6.0,36.0,708.0,2.8382928
0 days 14:59:59,6.0,36.0,732.0,2.6479197
0 days 14:59:59,6.0,36.0,756.0,2.9413834
0 days 14:59:59,6.0,36.0,780.0,2.7627199
0 days 14:59:59,6.0,36.0,804.0,3.2162006
0 days 14:59:59,6.0,36.0,828.0,0.9997652
0 days 14:59:59,6.0,36.0,852.0,0.993741
0 days 14:59:59,6.0,36.0,876.0,3.0917053
0 days 14:59:59,6.0,36.0,900.0,1.0327234
0 days 14:59:59,6.0,36.0,924.0,3.042898
0 days 14:59:59,6.0,36.0,948.0,2.4266412
0 days 14:59:59,6.0,36.0,972.0,2.5442035
0 days 14:59:59,6.0,36.0,996.0,2.178015
0 days 14:59:59,6.0,36.0,1020.0,0.9810907
0 days 14:59:59,6.0,36.0,1044.0,2.3463733
0 days 14:59:59,6.0,36.0,1068.0,0.941339
0 days 14:59:59,6.0,36.0,1092.0,0.804947
0 days 14:59:59,6.0,36.0,1116.0,2.3782175
0 days 14:59:59,6.0,36.0,1140.0,2.0290618
0 days 14:59:59,6.0,36.0,1164.0,2.0764365
0 days 14:59:59,6.0,36.0,1188.0,2.2398624
0 days 14:59:59,6.0,36.0,1212.0,2.29087
0 days 14:59:59,6.0,36.0,1236.0,2.5980935
0 days 14:59:59,6.0,36.0,1260.0,2.2757657
0 days 14:59:59,6.0,36.0,1284.0,2.2620225
0 days 14:59:59,6.0,36.0,1308.0,2.2161229
0 days 14:59:59,6.0,36.0,1332.0,2.560685
0 days 14:59:59,6.0,36.0,1356.0,1.6918852
0 days 14:59:59,6.0,36.0,1380.0,0.880038
0 days 14:59:59,6.0,36.0,1404.0,2.1128983
0 days 14:59:59,6.0,36.0,1428.0,1.6401227
0 days 14:59:59,6.0,36.0,1452.0,2.852685
0 days 14:59:59,6.0,36.0,1476.0,1.2271591
