time,zu1_xy,y,x,rad_net*_xy
0 days 14:59:59,6.0,12.0,2388.0,233.3966
0 days 14:59:59,6.0,12.0,2412.0,233.34464
0 days 14:59:59,6.0,12.0,2436.0,234.69109
0 days 14:59:59,6.0,12.0,2460.0,266.25223
0 days 14:59:59,6.0,12.0,2484.0,245.64816
0 days 14:59:59,6.0,12.0,2508.0,246.15033
0 days 14:59:59,6.0,12.0,2532.0,267.01334
0 days 14:59:59,6.0,12.0,2556.0,242.08455
0 days 14:59:59,6.0,12.0,2580.0,247.59135
0 days 14:59:59,6.0,12.0,2604.0,-46.776184
0 days 14:59:59,6.0,12.0,2628.0,289.46005
0 days 14:59:59,6.0,12.0,2652.0,255.28648
0 days 14:59:59,6.0,12.0,2676.0,256.32257
0 days 14:59:59,6.0,12.0,2700.0,-39.610134
0 days 14:59:59,6.0,12.0,2724.0,251.91905
0 days 14:59:59,6.0,12.0,2748.0,253.70085
0 days 14:59:59,6.0,12.0,2772.0,249.22383
0 days 14:59:59,6.0,12.0,2796.0,247.27878
0 days 14:59:59,6.0,12.0,2820.0,246.89249
0 days 14:59:59,6.0,12.0,2844.0,247.03818
0 days 14:59:59,6.0,12.0,2868.0,247.73639
0 days 14:59:59,6.0,12.0,2892.0,248.35382
0 days 14:59:59,6.0,12.0,2916.0,248.14957
0 days 14:59:59,6.0,12.0,2940.0,248.56708
0 days 14:59:59,6.0,12.0,2964.0,362.1315
0 days 14:59:59,6.0,12.0,2988.0,248.32195
0 days 14:59:59,6.0,12.0,3012.0,365.12982
0 days 14:59:59,6.0,12.0,3036.0,252.1044
0 days 14:59:59,6.0,12.0,3060.0,248.09319
0 days 14:59:59,6.0,36.0,12.0,411.7631
0 days 14:59:59,6.0,36.0,36.0,428.42752
0 days 14:59:59,6.0,36.0,60.0,439.45734
0 days 14:59:59,6.0,36.0,84.0,397.65536
0 days 14:59:59,6.0,36.0,108.0,400.3527
0 days 14:59:59,6.0,36.0,132.0,422.376
0 days 14:59:59,6.0,36.0,156.0,398.5915
0 days 14:59:59,6.0,36.0,180.0,401.53162
0 days 14:59:59,6.0,36.0,204.0,413.9946
0 days 14:59:59,6.0,36.0,228.0,470.7142
0 days 14:59:59,6.0,36.0,252.0,217.99916
0 days 14:59:59,6.0,36.0,276.0,215.21304
0 days 14:59:59,6.0,36.0,300.0,217.69286
0 days 14:59:59,6.0,36.0,324.0,223.06384
0 days 14:59:59,6.0,36.0,348.0,252.6939
0 days 14:59:59,6.0,36.0,372.0,216.41383
0 days 14:59:59,6.0,36.0,396.0,-20.136824
0 days 14:59:59,6.0,36.0,420.0,213.12666
0 days 14:59:59,6.0,36.0,444.0,211.85907
0 days 14:59:59,6.0,36.0,468.0,211.42842
0 days 14:59:59,6.0,36.0,492.0,14.537032
0 days 14:59:59,6.0,36.0,516.0,-16.791435
0 days 14:59:59,6.0,36.0,540.0,214.52727
0 days 14:59:59,6.0,36.0,564.0,215.90208
0 days 14:59:59,6.0,36.0,588.0,-11.338046
0 days 14:59:59,6.0,36.0,612.0,215.8832
0 days 14:59:59,6.0,36.0,636.0,216.77827
0 days 14:59:59,6.0,36.0,660.0,-8.4267025
0 days 14:59:59,6.0,36.0,684.0,218.5326
0 days 14:59:59,6.0,36.0,708.0,216.13824
0 days 14:59:59,6.0,36.0,732.0,-13.512046
0 days 14:59:59,6.0,36.0,756.0,218.08575
0 days 14:59:59,6.0,36.0,780.0,-13.903122
0 days 14:59:59,6.0,36.0,804.0,219.75769
0 days 14:59:59,6.0,36.0,828.0,5.6159754
0 days 14:59:59,6.0,36.0,852.0,224.60791
0 days 14:59:59,6.0,36.0,876.0,223.62828
0 days 14:59:59,6.0,36.0,900.0,1.2161899
0 days 14:59:59,6.0,36.0,924.0,222.99104
0 days 14:59:59,6.0,36.0,948.0,-12.836395
0 days 14:59:59,6.0,36.0,972.0,402.3361
0 days 14:59:59,6.0,36.0,996.0,-16.040668
0 days 14:59:59,6.0,36.0,1020.0,7.4506674
0 days 14:59:59,6.0,36.0,1044.0,405.68518
0 days 14:59:59,6.0,36.0,1068.0,15.204375
0 days 14:59:59,6.0,36.0,1092.0,442.96005
0 days 14:59:59,6.0,36.0,1116.0,402.85678
0 days 14:59:59,6.0,36.0,1140.0,400.92212
0 days 14:59:59,6.0,36.0,1164.0,-14.936096
0 days 14:59:59,6.0,36.0,1188.0,399.81818
0 days 14:59:59,6.0,36.0,1212.0,-19.439314
0 days 14:59:59,6.0,36.0,1236.0,397.786
0 days 14:59:59,6.0,36.0,1260.0,-17.506159
0 days 14:59:59,6.0,36.0,1284.0,-18.908222
0 days 14:59:59,6.0,36.0,1308.0,397.1911
0 days 14:59:59,6.0,36.0,1332.0,396.79895
0 days 14:59:59,6.0,36.0,1356.0,-58.983585
0 days 14:59:59,6.0,36.0,1380.0,-47.336796
0 days 14:59:59,6.0,36.0,1404.0,252.72423
0 days 14:59:59,6.0,36.0,1428.0,249.51543
0 days 14:59:59,6.0,36.0,1452.0,-118.03495
0 days 14:59:59,6.0,36.0,1476.0,-91.33638
0 days 14:59:59,6.0,36.0,1500.0,234.42905
0 days 14:59:59,6.0,36.0,1524.0,250.1475
0 days 14:59:59,6.0,36.0,1548.0,-27.765955
0 days 14:59:59,6.0,36.0,1572.0,359.05737
0 days 14:59:59,6.0,36.0,1596.0,229.53223
0 days 14:59:59,6.0,36.0,1620.0,231.8551
0 days 14:59:59,6.0,36.0,1644.0,230.3153
0 days 14:59:59,6.0,36.0,1668.0,230.04199
0 days 14:59:59,6.0,36.0,1692.0,-58.275993
0 days 14:59:59,6.0,36.0,1716.0,250.5346
0 days 14:59:59,6.0,36.0,1740.0,274.99414
0 days 14:59:59,6.0,36.0,1764.0,231.91447
0 days 14:59:59,6.0,36.0,1788.0,233.38844
0 days 14:59:59,6.0,36.0,1812.0,233.39616
0 days 14:59:59,6.0,36.0,1836.0,231.28859
0 days 14:59:59,6.0,36.0,1860.0,232.35959
0 days 14:59:59,6.0,36.0,1884.0,232.00981
0 days 14:59:59,6.0,36.0,1908.0,229.03397
0 days 14:59:59,6.0,36.0,1932.0,-53.977524
0 days 14:59:59,6.0,36.0,1956.0,251.73766
0 days 14:59:59,6.0,36.0,1980.0,254.48683
0 days 14:59:59,6.0,36.0,2004.0,252.49706
0 days 14:59:59,6.0,36.0,2028.0,366.12234
0 days 14:59:59,6.0,36.0,2052.0,358.1286
0 days 14:59:59,6.0,36.0,2076.0,247.27657
0 days 14:59:59,6.0,36.0,2100.0,249.41104
0 days 14:59:59,6.0,36.0,2124.0,245.9707
0 days 14:59:59,6.0,36.0,2148.0,-20.394644
0 days 14:59:59,6.0,36.0,2172.0,281.76834
0 days 14:59:59,6.0,36.0,2196.0,282.22745
0 days 14:59:59,6.0,36.0,2220.0,293.36856
0 days 14:59:59,6.0,36.0,2244.0,297.4212
0 days 14:59:59,6.0,36.0,2268.0,271.8289
0 days 14:59:59,6.0,36.0,2292.0,242.82562
0 days 14:59:59,6.0,36.0,2316.0,-72.28674
0 days 14:59:59,6.0,36.0,2340.0,245.92664
0 days 14:59:59,6.0,36.0,2364.0,249.84608
0 days 14:59:59,6.0,36.0,2388.0,237.42288
0 days 14:59:59,6.0,36.0,2412.0,263.00955
0 days 14:59:59,6.0,36.0,2436.0,232.1627
0 days 14:59:59,6.0,36.0,2460.0,240.87593
0 days 14:59:59,6.0,36.0,2484.0,213.69969
0 days 14:59:59,6.0,36.0,2508.0,245.02182
0 days 14:59:59,6.0,36.0,2532.0,250.77553
0 days 14:59:59,6.0,36.0,2556.0,260.07776
0 days 14:59:59,6.0,36.0,2580.0,248.0332
0 days 14:59:59,6.0,36.0,2604.0,-46.877876
0 days 14:59:59,6.0,36.0,2628.0,301.48392
0 days 14:59:59,6.0,36.0,2652.0,248.48247
0 days 14:59:59,6.0,36.0,2676.0,245.72694
0 days 14:59:59,6.0,36.0,2700.0,-26.484426
0 days 14:59:59,6.0,36.0,2724.0,271.29
0 days 14:59:59,6.0,36.0,2748.0,237.642
0 days 14:59:59,6.0,36.0,2772.0,-59.198338
0 days 14:59:59,6.0,36.0,2796.0,247.47173
0 days 14:59:59,6.0,36.0,2820.0,361.666
0 days 14:59:59,6.0,36.0,2844.0,246.81766
0 days 14:59:59,6.0,36.0,2868.0,248.05693
0 days 14:59:59,6.0,36.0,2892.0,249.52489
0 days 14:59:59,6.0,36.0,2916.0,362.64664
0 days 14:59:59,6.0,36.0,2940.0,363.8755
0 days 14:59:59,6.0,36.0,2964.0,249.0994
0 days 14:59:59,6.0,36.0,2988.0,250.9472
0 days 14:59:59,6.0,36.0,3012.0,384.5691
0 days 14:59:59,6.0,36.0,3036.0,254.53038
0 days 14:59:59,6.0,36.0,3060.0,-63.32357
0 days 14:59:59,6.0,60.0,12.0,412.4101
0 days 14:59:59,6.0,60.0,36.0,427.32877
0 days 14:59:59,6.0,60.0,60.0,438.0175
0 days 14:59:59,6.0,60.0,84.0,395.7985
0 days 14:59:59,6.0,60.0,108.0,397.7018
0 days 14:59:59,6.0,60.0,132.0,403.50467
0 days 14:59:59,6.0,60.0,156.0,419.1084
0 days 14:59:59,6.0,60.0,180.0,400.83362
0 days 14:59:59,6.0,60.0,204.0,421.78787
0 days 14:59:59,6.0,60.0,228.0,403.5272
0 days 14:59:59,6.0,60.0,252.0,228.24925
0 days 14:59:59,6.0,60.0,276.0,228.63667
0 days 14:59:59,6.0,60.0,300.0,226.55565
0 days 14:59:59,6.0,60.0,324.0,222.8131
0 days 14:59:59,6.0,60.0,348.0,225.2603
0 days 14:59:59,6.0,60.0,372.0,233.1593
0 days 14:59:59,6.0,60.0,396.0,-19.860874
0 days 14:59:59,6.0,60.0,420.0,212.44475
0 days 14:59:59,6.0,60.0,444.0,211.39328
0 days 14:59:59,6.0,60.0,468.0,211.3281
0 days 14:59:59,6.0,60.0,492.0,1.0248901
0 days 14:59:59,6.0,60.0,516.0,220.64809
0 days 14:59:59,6.0,60.0,540.0,214.92374
0 days 14:59:59,6.0,60.0,564.0,216.62833
0 days 14:59:59,6.0,60.0,588.0,-7.7127323
0 days 14:59:59,6.0,60.0,612.0,216.62286
0 days 14:59:59,6.0,60.0,636.0,217.87369
0 days 14:59:59,6.0,60.0,660.0,1.5573413
0 days 14:59:59,6.0,60.0,684.0,220.8953
0 days 14:59:59,6.0,60.0,708.0,216.47781
0 days 14:59:59,6.0,60.0,732.0,-13.856639
0 days 14:59:59,6.0,60.0,756.0,218.43729
0 days 14:59:59,6.0,60.0,780.0,-14.099881
0 days 14:59:59,6.0,60.0,804.0,219.72179
0 days 14:59:59,6.0,60.0,828.0,219.25206
0 days 14:59:59,6.0,60.0,852.0,219.43939
0 days 14:59:59,6.0,60.0,876.0,-20.152979
0 days 14:59:59,6.0,60.0,900.0,220.6686
0 days 14:59:59,6.0,60.0,924.0,-19.150179
0 days 14:59:59,6.0,60.0,948.0,11.712056
0 days 14:59:59,6.0,60.0,972.0,407.7912
0 days 14:59:59,6.0,60.0,996.0,9.117134
0 days 14:59:59,6.0,60.0,1020.0,415.61014
0 days 14:59:59,6.0,60.0,1044.0,5.6309667
0 days 14:59:59,6.0,60.0,1068.0,420.02405
0 days 14:59:59,6.0,60.0,1092.0,418.6675
0 days 14:59:59,6.0,60.0,1116.0,421.41675
0 days 14:59:59,6.0,60.0,1140.0,430.05927
0 days 14:59:59,6.0,60.0,1164.0,12.883406
